Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
3/9/2021 7:52:35,Hard cover,Coffee,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Business"
3/9/2021 8:02:47,Paperback,There is no connection between books and beverage,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, History"
3/9/2021 8:07:24,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,Humour
3/9/2021 8:46:28,Paperback,None,Nope,I want to build a library duh!,5,Yes! no. Well maybe....,"Fiction, Philosophy, Humour, Romance"
3/9/2021 9:21:15,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,Yes,"Fiction, Cosmology"
3/9/2021 10:06:58,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Philosophy, Biography, Romance"
3/9/2021 10:18:33,Hard cover,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Politics, Romance"
3/9/2021 11:24:48,Ebook,Tea,Nope,I wish I could read them without buying a lot of books,1,No,Romance
3/9/2021 11:31:00,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
3/9/2021 11:44:24,Hard cover,I do not drink but I know things,"Yes, like my life",I wish I could read them without buying a lot of books,3,Yes,"Fiction, History, Biography, Humour, Romance, Travel"
3/9/2021 12:04:34,Hard cover,Alcohol,"Yes, like my life",I wish I could read them without buying a lot of books,4,Yes,"Fiction, Literature, Philosophy, Humour, Romance"
3/9/2021 12:53:58,Hard cover,Tea,Nope,I want to build a library duh!,8,Yes,"Religion, History, Politics, Travel"
